treated_club,treated_season,control_club,control_season,tier,hire_type,firing_mw,t_pre,t_post,c_pre,c_post,t_diff,c_diff,did
36,2019/2020,157,2023/2024,1,Permanent,11.0,-1.125,0.25,-0.05250000000000005,0.26166666666666666,1.375,0.3141666666666667,1.0608333333333333
36,2019/2020,47,2019/2020,1,Permanent,11.0,-1.125,0.25,-0.125,-1.8333333333333333,1.375,-1.7083333333333333,3.083333333333333
36,2019/2020,406,2021/2022,1,Permanent,11.0,-1.125,0.25,-1.375,-0.6666666666666666,1.375,0.7083333333333334,0.6666666666666666
76,2024/2025,285,2020/2021,3,Permanent,14.0,-0.7862499999999999,-0.9033333333333333,0.0,0.25,-0.11708333333333343,0.25,-0.36708333333333343
76,2024/2025,166,2020/2021,3,Permanent,14.0,-0.7862499999999999,-0.9033333333333333,0.8461538461538461,0.16666666666666666,-0.11708333333333343,-0.6794871794871795,0.5624038461538461
51,2023/2024,445,2023/2024,1,Permanent,12.0,-0.3162499999999999,-0.34500000000000003,-0.62125,-0.17000000000000004,-0.02875000000000011,0.45124999999999993,-0.48000000000000004
51,2024/2025,40,2022/2023,1,Permanent,15.0,-0.37625000000000003,-0.36916666666666664,-0.125,-0.5866666666666667,0.007083333333333386,-0.46166666666666667,0.46875000000000006
42,2019/2020,42,2022/2023,1,Permanent,11.0,-1.5,-0.25,-0.375,-0.5591666666666667,1.25,-0.1841666666666667,1.4341666666666666
42,2020/2021,233,2020/2021,1,Permanent,14.0,-0.375,-0.16666666666666666,-0.25,-0.08333333333333333,0.20833333333333334,0.16666666666666669,0.04166666666666666
42,2020/2021,160,2022/2023,1,Permanent,14.0,-0.375,-0.16666666666666666,0.125,0.11833333333333333,0.20833333333333334,-0.006666666666666668,0.21500000000000002
42,2023/2024,460,2023/2024,1,Permanent,21.0,0.43249999999999994,0.18499999999999997,-1.1225,-1.4033333333333333,-0.24749999999999997,-0.28083333333333327,0.0333333333333333
42,2023/2024,199,2019/2020,1,Permanent,21.0,0.43249999999999994,0.18499999999999997,-1.875,0.5714285714285714,-0.24749999999999997,2.446428571428571,-2.6939285714285712
83,2020/2021,371,2022/2023,2,Permanent,13.0,-0.7857142857142857,-0.8888888888888888,-0.8888888888888888,-0.16666666666666666,-0.10317460317460314,0.7222222222222222,-0.8253968253968254
83,2020/2021,433,2022/2023,2,Permanent,13.0,-0.7857142857142857,-0.8888888888888888,0.125,-0.9166666666666666,-0.10317460317460314,-1.0416666666666665,0.9384920634920634
268,2019/2020,238,2021/2022,1,Permanent,7.0,-0.6666666666666666,-0.25,-0.6666666666666666,-0.5833333333333334,0.41666666666666663,0.08333333333333326,0.33333333333333337
268,2024/2025,195,2022/2023,1,,18.0,0.44375000000000003,0.7916666666666666,-1.0,0.10749999999999994,0.3479166666666666,1.1075,-0.7595833333333333
450,2024/2025,215,2019/2020,1,,24.0,-0.5050000000000001,-0.8741666666666666,-0.75,-1.5833333333333333,-0.36916666666666653,-0.8333333333333333,0.4641666666666667
450,2024/2025,227,2022/2023,1,,24.0,-0.5050000000000001,-0.8741666666666666,-0.6425,-0.47833333333333333,-0.36916666666666653,0.16416666666666663,-0.5333333333333332
77,2019/2020,68,2022/2023,3,Permanent,21.0,1.125,1.0,0.5,0.1111111111111111,-0.125,-0.3888888888888889,0.2638888888888889
264,2020/2021,187,2020/2021,1,Permanent,28.0,0.125,-0.2,-1.5,-2.0,-0.325,-0.5,0.175
358,2020/2021,291,2024/2025,3,Permanent,15.0,-0.45454545454545453,0.25,0.0,0.0,0.7045454545454546,0.0,0.7045454545454546
358,2020/2021,101,2021/2022,3,Permanent,15.0,-0.45454545454545453,0.25,-0.125,0.3333333333333333,0.7045454545454546,0.4583333333333333,0.24621212121212127
358,2020/2021,109,2022/2023,3,Permanent,15.0,-0.45454545454545453,0.25,-0.5,-0.4166666666666667,0.7045454545454546,0.08333333333333331,0.6212121212121213
170,2019/2020,503,2024/2025,3,Permanent,22.0,-0.8888888888888888,-1.5,0.875,0.8181818181818182,-0.6111111111111112,-0.05681818181818177,-0.5542929292929294
170,2020/2021,72,2021/2022,3,Permanent,20.0,-0.875,-0.9,-0.75,-0.3,-0.025000000000000022,0.45,-0.47500000000000003
170,2020/2021,105,2020/2021,3,Permanent,20.0,-0.875,-0.9,-0.625,-0.1,-0.025000000000000022,0.525,-0.55
137,2019/2020,225,2024/2025,1,Permanent,18.0,-0.625,-1.375,-0.68125,-0.30833333333333335,-0.75,0.3729166666666667,-1.1229166666666668
137,2020/2021,278,2021/2022,1,Permanent,8.0,-1.4285714285714286,-1.3333333333333333,-0.2857142857142857,0.08333333333333333,0.09523809523809534,0.369047619047619,-0.27380952380952367
475,2023/2024,75,2020/2021,3,Permanent,13.0,-0.9090909090909091,-0.9166666666666666,-1.75,-1.0833333333333333,-0.007575757575757569,0.6666666666666667,-0.6742424242424243
475,2023/2024,73,2021/2022,3,Permanent,13.0,-0.9090909090909091,-0.9166666666666666,-1.4444444444444444,-0.5833333333333334,-0.007575757575757569,0.861111111111111,-0.8686868686868686
292,2019/2020,419,2022/2023,3,Permanent,7.0,-0.25,-0.5833333333333334,-1.0,-0.8333333333333334,-0.33333333333333337,0.16666666666666663,-0.5
292,2020/2021,96,2022/2023,3,Permanent,17.0,-1.375,-0.5555555555555556,0.125,0.3333333333333333,0.8194444444444444,0.20833333333333331,0.6111111111111112
217,2022/2023,470,2024/2025,1,Permanent,16.0,-0.5,-1.3366666666666667,-0.80375,-0.09666666666666668,-0.8366666666666667,0.7070833333333333,-1.54375
407,2022/2023,187,2019/2020,1,Permanent,12.0,-1.25,-0.6591666666666667,-0.375,-0.08333333333333333,0.5908333333333333,0.2916666666666667,0.29916666666666664
297,2019/2020,203,2021/2022,3,Interim,13.0,-0.18181818181818182,-0.6666666666666666,-0.25,-0.8333333333333334,-0.4848484848484848,-0.5833333333333334,0.09848484848484856
297,2019/2020,290,2024/2025,3,Interim,13.0,-0.18181818181818182,-0.6666666666666666,-0.1,1.25,-0.4848484848484848,1.35,-1.834848484848485
183,2021/2022,232,2024/2025,1,Permanent,19.0,0.5,0.75,1.02125,0.245,0.25,-0.77625,1.02625
269,2024/2025,164,2020/2021,1,Permanent,12.0,0.012499999999999983,0.5000000000000001,-0.375,-0.5,0.48750000000000016,-0.125,0.6125000000000002
193,2021/2022,244,2022/2023,1,Permanent,18.0,-1.25,-0.16666666666666666,-0.125,-0.5833333333333334,1.0833333333333333,-0.45833333333333337,1.5416666666666665
193,2024/2025,198,2024/2025,1,Permanent,15.0,-0.4275,-1.4841666666666666,-0.7975000000000001,-0.695,-1.0566666666666666,0.10250000000000015,-1.1591666666666667
84,2020/2021,14,2021/2022,2,Permanent,13.0,0.5714285714285714,-0.3333333333333333,1.125,0.08333333333333333,-0.9047619047619047,-1.0416666666666667,0.13690476190476208
