spell_id,club_id,club_name,league_id,league_name,country,tier,season,mgr_seq,start_matchweek,end_matchweek,replacement_hire_type,cum_xgd_at_firing,squad_value_m,roll_xgd_3,roll_xgd_5,roll_xgd_8,roll_pts_3,roll_pts_5,roll_pts_8,cum_pts,pts_rank_pct,squad_value_z,valid_firing
2,36,1. FC Köln,3,Bundesliga,Germany,1,2019/2020,1,,11.0,Interim,,98.48,-0.3333333333333333,-1.0,-1.125,1.0,0.8,0.875,7.0,0.8421052631578947,-0.46341939501149965,True
3,36,1. FC Köln,3,Bundesliga,Germany,1,2019/2020,2,11.0,11.0,Permanent,,98.48,-0.3333333333333333,-1.0,-1.125,1.0,0.8,0.875,7.0,0.8421052631578947,-0.46341939501149965,True
4,36,1. FC Köln,3,Bundesliga,Germany,1,2019/2020,3,11.0,11.0,Permanent,,98.48,-0.3333333333333333,-1.0,-1.125,1.0,0.8,0.875,7.0,0.8421052631578947,-0.46341939501149965,True
5,36,1. FC Köln,3,Bundesliga,Germany,1,2019/2020,4,11.0,34.0,Interim,,98.48,-0.3333333333333333,-1.0,-1.125,1.0,0.8,0.875,7.0,0.8421052631578947,-0.46341939501149965,False
7,36,1. FC Köln,3,Bundesliga,Germany,1,2021/2022,1,,34.0,Permanent,,99.28,1.3333333333333333,1.4,0.875,2.0,2.4,2.0,52.0,0.3684210526315789,-0.5307447217695443,False
12,76,Slovácko,17,Czech First League,Czechia,3,2024/2025,1,,13.0,Permanent,,10.99,-0.0466666666666666,-0.42799999999999994,-0.2925,2.0,1.8,1.5,27.0,0.2777777777777778,-0.48629313363279647,True
13,76,Slovácko,17,Czech First League,Czechia,3,2024/2025,2,13.0,14.0,Permanent,,10.99,-0.0466666666666666,-0.42799999999999994,-0.2925,2.0,1.8,1.5,27.0,0.2777777777777778,-0.48629313363279647,True
14,76,Slovácko,17,Czech First League,Czechia,3,2024/2025,3,14.0,27.0,Permanent,,10.99,-0.0466666666666666,-0.42799999999999994,-0.2925,2.0,1.8,1.5,27.0,0.2777777777777778,-0.48629313363279647,False
15,51,Union Berlin,3,Bundesliga,Germany,1,2018/2019,1,,,Permanent,,115.81,,,,,,,,,,False
16,51,Union Berlin,3,Bundesliga,Germany,1,2023/2024,1,11.0,12.0,Permanent,,160.95,-1.1433333333333333,-0.8780000000000001,-0.31625,0.0,0.0,0.0,6.0,0.8947368421052632,-0.24546889431970706,True
19,51,Union Berlin,3,Bundesliga,Germany,1,2024/2025,1,,15.0,Permanent,,136.05,0.19333333333333338,-0.08599999999999994,-0.37625000000000003,0.3333333333333333,0.4,0.75,17.0,0.631578947368421,-0.37531959616576593,True
21,69,Příbram,17,Czech First League,Czechia,3,2018/2019,1,,,Interim,,11.58,,,,,,,,,,False
22,69,Příbram,17,Czech First League,Czechia,3,2019/2020,1,22.0,24.0,Permanent,,8.2,-2.6666666666666665,-2.6,-1.875,0.3333333333333333,0.2,0.25,18.0,1.0,-0.5138158737682075,False
23,69,Příbram,17,Czech First League,Czechia,3,2020/2021,1,23.0,34.0,Permanent,,6.33,0.0,0.0,-0.5,1.3333333333333333,1.4,1.25,24.0,0.9444444444444444,-0.5921942155973703,False
24,69,Příbram,17,Czech First League,Czechia,3,2021/2022,1,,,Permanent,,9.5,,,,,,,,,,False
25,69,Příbram,17,Czech First League,Czechia,3,2022/2023,1,,,Interim,,8.38,,,,,,,,,,False
26,69,Příbram,17,Czech First League,Czechia,3,2022/2023,2,,,Permanent,,8.38,,,,,,,,,,False
29,42,FSV Mainz 05,3,Bundesliga,Germany,1,2017/2018,1,,,Permanent,,115.81,,,,,,,,,,False
30,42,FSV Mainz 05,3,Bundesliga,Germany,1,2019/2020,1,11.0,11.0,Permanent,,121.58,-2.3333333333333335,-1.4,-1.5,1.0,1.2,1.125,9.0,0.7894736842105263,-0.3528186048621471,True
31,42,FSV Mainz 05,3,Bundesliga,Germany,1,2019/2020,2,11.0,34.0,Interim,,121.58,-2.3333333333333335,-1.4,-1.5,1.0,1.2,1.125,9.0,0.7894736842105263,-0.3528186048621471,False
32,42,FSV Mainz 05,3,Bundesliga,Germany,1,2020/2021,1,2.0,13.0,Permanent,,163.3,-0.6666666666666666,0.0,-0.375,0.3333333333333333,1.0,0.75,6.0,0.8947368421052632,-0.20959648129053118,True
33,42,FSV Mainz 05,3,Bundesliga,Germany,1,2020/2021,2,13.0,14.0,Permanent,,163.3,-0.6666666666666666,0.0,-0.375,0.3333333333333333,1.0,0.75,6.0,0.8947368421052632,-0.20959648129053118,True
34,42,FSV Mainz 05,3,Bundesliga,Germany,1,2020/2021,3,14.0,34.0,Interim,,163.3,-0.6666666666666666,0.0,-0.375,0.3333333333333333,1.0,0.75,6.0,0.8947368421052632,-0.20959648129053118,False
35,42,FSV Mainz 05,3,Bundesliga,Germany,1,2023/2024,1,9.0,16.0,Interim,,142.88,1.2833333333333332,0.8719999999999999,0.47750000000000004,0.3333333333333333,0.6,0.875,9.0,0.8947368421052632,-0.3308611256624309,True
36,42,FSV Mainz 05,3,Bundesliga,Germany,1,2023/2024,2,16.0,21.0,Permanent,,142.88,1.2833333333333332,0.8719999999999999,0.47750000000000004,0.3333333333333333,0.6,0.875,9.0,0.8947368421052632,-0.3308611256624309,True
