treated_club,treated_season,treated_tier,treated_ps,control_club,control_season,control_ps,ps_dist
36,2019/2020,1,0.41740218485718417,157,2023/2024,0.4171941502802846,0.0008555446292623503
36,2019/2020,1,0.41740218485718417,47,2019/2020,0.4189961386460983,0.006551166615650916
36,2019/2020,1,0.41740218485718417,406,2021/2022,0.4191339645244883,0.007117303986907408
76,2024/2025,3,0.09830275441279783,285,2020/2021,0.09815415036381618,0.0016776327177212558
76,2024/2025,3,0.09830275441279783,166,2020/2021,0.09852893825227743,0.002549120954515871
51,2023/2024,1,0.7103998269974654,445,2023/2024,0.7082815856908115,0.010273958143286799
51,2024/2025,1,0.3637151166241186,40,2022/2023,0.36380817258649023,0.0004020753557720802
42,2019/2020,1,0.317033877003196,42,2022/2023,0.31852210454541907,0.006864681510859616
42,2020/2021,1,0.551583603355872,233,2020/2021,0.549398995722795,0.008828473372657464
42,2020/2021,1,0.551583603355872,160,2022/2023,0.556564075872342,0.020157828970199687
42,2023/2024,1,0.5693165267933331,460,2023/2024,0.5718225447664634,0.01022783595214194
42,2023/2024,1,0.5693165267933331,199,2019/2020,0.5664997980988647,0.011478684059074817
83,2020/2021,2,0.4483851766541457,371,2022/2023,0.4461254606621262,0.00914059683247162
83,2020/2021,2,0.4483851766541457,433,2022/2023,0.4519995881620702,0.014602616773779414
268,2019/2020,1,0.4114803733268153,238,2021/2022,0.41182062514087314,0.001404870951960735
268,2024/2025,1,0.2784275462296311,195,2022/2023,0.27716635916027976,0.006286273680132792
450,2024/2025,1,0.6401302090723243,215,2019/2020,0.6370983080698205,0.013137336168933644
450,2024/2025,1,0.6401302090723243,227,2022/2023,0.6473210811971369,0.03135503512440052
77,2019/2020,3,0.08602476458441204,68,2022/2023,0.08638811903903884,0.004612573131177022
264,2020/2021,1,0.41040765129849605,187,2020/2021,0.4091224308803378,0.005313957344704634
358,2020/2021,3,0.3606477499296261,291,2024/2025,0.3633150477764774,0.011549239892072127
358,2020/2021,3,0.3606477499296261,101,2021/2022,0.3561444338282405,0.01958422867474341
358,2020/2021,3,0.3606477499296261,109,2022/2023,0.3549228608498923,0.02491559816849942
170,2019/2020,3,0.3252486276223114,503,2024/2025,0.3244171861363695,0.0037910593412184834
170,2020/2021,3,0.4535570802396533,72,2021/2022,0.4534367586810989,0.0004854857589381145
170,2020/2021,3,0.4535570802396533,105,2020/2021,0.45285304258383663,0.0028410359255805206
137,2019/2020,1,0.48751987811289443,225,2024/2025,0.48642806560663926,0.004370217871088468
137,2020/2021,1,0.2968813874525787,278,2021/2022,0.29883148502851165,0.009324479671162567
475,2023/2024,3,0.6024614980825931,75,2020/2021,0.6002571381801666,0.009195338039582224
475,2023/2024,3,0.6024614980825931,73,2021/2022,0.6077166503382465,0.02199235808011646
292,2019/2020,3,0.673508710868308,419,2022/2023,0.6685616865130973,0.022410701646707665
292,2020/2021,3,0.498105105335286,96,2022/2023,0.49569345136431897,0.009647005583382018
217,2022/2023,1,0.5535093151655851,470,2024/2025,0.5655406579022162,0.048819779735226415
407,2022/2023,1,0.3814590363480353,187,2019/2020,0.380625007046398,0.003536286172245273
297,2019/2020,3,0.25854198331070843,203,2021/2022,0.2604315622684639,0.00983373455267822
297,2019/2020,3,0.25854198331070843,290,2024/2025,0.2606722515906596,0.01108300048903943
183,2021/2022,1,0.2169883240134971,232,2024/2025,0.21693022317041155,0.0003419950873890798
269,2024/2025,1,0.3288565474606784,164,2020/2021,0.3290891399610449,0.0010536480687174388
193,2021/2022,1,0.4195994700450609,244,2022/2023,0.41924001514536297,0.0014761595338619315
193,2024/2025,1,0.3600135792446528,198,2024/2025,0.3610024179515325,0.004289193522095225
84,2020/2021,2,0.10723082956810924,14,2021/2022,0.107293608968711,0.0006556113794951024
84,2022/2023,2,0.576093183163557,337,2022/2023,0.5788459664323122,0.011282001674022268
260,2023/2024,2,0.1902342714447024,118,2020/2021,0.189588669735801,0.004196443061370125
422,2023/2024,2,0.11508169328182447,329,2021/2022,0.11508200853847424,3.0956675547422208e-06
422,2023/2024,2,0.11508169328182447,301,2019/2020,0.11520105259855873,0.0011715236636549164
129,2022/2023,1,0.17662274354168123,131,2019/2020,0.17665431180267913,0.00021705744279643113
129,2023/2024,1,0.16164689643400534,44,2024/2025,0.16199516916130824,0.0025677212836616725
129,2023/2024,1,0.16164689643400534,201,2023/2024,0.16052964083166407,0.008267492895970285
301,2021/2022,2,0.2655839391661803,111,2020/2021,0.2658984667095998,0.0016119466600246213
349,2024/2025,1,0.40305294543017134,27,2022/2023,0.4024056098100778,0.0026911948809247854
349,2024/2025,1,0.40305294543017134,417,2022/2023,0.40398302631159966,0.0038642090840902976
421,2021/2022,2,0.6464471967778734,126,2023/2024,0.6487730773193694,0.010191815314057884
308,2019/2020,2,0.6045102141072536,477,2023/2024,0.6037621902864339,0.0031277705026808156
308,2024/2025,2,0.1252771149561289,9,2024/2025,0.12594243766537225,0.006057654537324542
