club_id,club_name,league,manager_name,season,start_date,end_date,fired,mid_season_fire,hire_type,reason,fb_club_name,team_id,start_matchweek,end_matchweek,replacement_hire_type
2036,1.FC Heidenheim 1846,Bundesliga,Frank Schmidt,2007/2008,2007-09-17,,False,False,Permanent,inferred,1. FC Heidenheim,487.0,,,
3,1.FC Köln,Bundesliga,Achim Beierlorzer,2019/2020,2019-07-01,2019-11-09,True,True,Permanent,inferred,1. FC Köln,36.0,,11.0,Interim
3,1.FC Köln,Bundesliga,Manfred Schmid,2019/2020,2019-11-09,2019-11-18,True,True,Permanent,inferred,1. FC Köln,36.0,11.0,11.0,Permanent
3,1.FC Köln,Bundesliga,André Pawlak,2019/2020,2019-11-10,2019-11-18,True,True,Permanent,inferred,1. FC Köln,36.0,11.0,11.0,Permanent
3,1.FC Köln,Bundesliga,Markus Gisdol,2019/2020,2019-11-19,2021-04-11,True,True,Permanent,inferred,1. FC Köln,36.0,11.0,34.0,Interim
3,1.FC Köln,Bundesliga,Friedhelm Funkel,2020/2021,2021-04-12,2021-06-30,False,False,Permanent,inferred,1. FC Köln,36.0,28.0,,
3,1.FC Köln,Bundesliga,Steffen Baumgart,2021/2022,2021-07-01,2023-12-31,True,True,Permanent,inferred,1. FC Köln,36.0,,34.0,Permanent
3,1.FC Köln,Bundesliga,Timo Schultz,2023/2024,2024-01-04,2024-06-30,False,False,Permanent,inferred,1. FC Köln,36.0,16.0,34.0,
3,1.FC Köln,Bundesliga,Gerhard Struber,2024/2025,2024-07-01,2025-05-05,False,False,Permanent,inferred,1. FC Köln,36.0,,,
3,1.FC Köln,Bundesliga,Friedhelm Funkel,2024/2025,2025-05-05,2025-06-30,False,False,Permanent,inferred,1. FC Köln,36.0,,,
5544,1.FC Slovacko,Czech First League,Martin Svedik,2018/2019,2018-11-12,2024-06-30,False,False,Permanent,inferred,Slovácko,76.0,,,
5544,1.FC Slovacko,Czech First League,Roman West,2024/2025,2024-07-01,2024-10-27,True,True,Permanent,inferred,Slovácko,76.0,,13.0,Permanent
5544,1.FC Slovacko,Czech First League,Jan Palinek,2024/2025,2024-10-27,2024-11-13,True,True,Permanent,inferred,Slovácko,76.0,13.0,14.0,Permanent
5544,1.FC Slovacko,Czech First League,Ondrej Smetana,2024/2025,2024-11-14,2025-03-31,True,True,Permanent,inferred,Slovácko,76.0,14.0,27.0,Permanent
5544,1.FC Slovacko,Czech First League,Tomas Palinek,2024/2025,2025-04-01,2025-06-30,False,False,Permanent,inferred,Slovácko,76.0,27.0,5.0,
89,1.FC Union Berlin,Bundesliga,Urs Fischer,2018/2019,2018-07-01,2023-11-15,True,True,Permanent,inferred,Union Berlin,51.0,,,Permanent
89,1.FC Union Berlin,Bundesliga,Marco Grote,2023/2024,2023-11-15,2023-11-26,True,True,Permanent,inferred,Union Berlin,51.0,11.0,12.0,Permanent
