club_name,league,season,squad_value_m
Manchester City,Premier League,2019/2020,1.05
Liverpool FC,Premier League,2019/2020,1.0
Tottenham Hotspur,Premier League,2019/2020,806.8
Chelsea FC,Premier League,2019/2020,705.85
Manchester United,Premier League,2019/2020,670.45
Arsenal FC,Premier League,2019/2020,607.65
Everton FC,Premier League,2019/2020,420.55
Leicester City,Premier League,2019/2020,411.1
Wolverhampton Wanderers,Premier League,2019/2020,320.33
West Ham United,Premier League,2019/2020,303.6
AFC Bournemouth,Premier League,2019/2020,272.18
Newcastle United,Premier League,2019/2020,252.48
Aston Villa,Premier League,2019/2020,231.7
Southampton FC,Premier League,2019/2020,210.75
Brighton & Hove Albion,Premier League,2019/2020,200.78
Watford FC,Premier League,2019/2020,199.6
Crystal Palace,Premier League,2019/2020,189.33
Burnley FC,Premier League,2019/2020,163.88
Norwich City,Premier League,2019/2020,145.33
Sheffield United,Premier League,2019/2020,138.6
Manchester City,Premier League,2020/2021,1.04
Liverpool FC,Premier League,2020/2021,969.65
Chelsea FC,Premier League,2020/2021,889.2
Manchester United,Premier League,2020/2021,770.05
Tottenham Hotspur,Premier League,2020/2021,703.5
Arsenal FC,Premier League,2020/2021,619.25
Everton FC,Premier League,2020/2021,511.2
Leicester City,Premier League,2020/2021,510.6
Wolverhampton Wanderers,Premier League,2020/2021,450.3
Aston Villa,Premier League,2020/2021,430.7
West Ham United,Premier League,2020/2021,336.4
Brighton & Hove Albion,Premier League,2020/2021,290.4
Southampton FC,Premier League,2020/2021,282.8
Newcastle United,Premier League,2020/2021,255.35
Fulham FC,Premier League,2020/2021,239.75
Leeds United,Premier League,2020/2021,238.1
Crystal Palace,Premier League,2020/2021,193.85
Sheffield United,Premier League,2020/2021,149.85
West Bromwich Albion,Premier League,2020/2021,141.15
Burnley FC,Premier League,2020/2021,132.3
Manchester City,Premier League,2021/2022,1.0
Liverpool FC,Premier League,2021/2022,918.9
Chelsea FC,Premier League,2021/2022,914.5
Manchester United,Premier League,2021/2022,769.15
Tottenham Hotspur,Premier League,2021/2022,689.35
Arsenal FC,Premier League,2021/2022,613.05
Leicester City,Premier League,2021/2022,526.55
Aston Villa,Premier League,2021/2022,487.75
Everton FC,Premier League,2021/2022,479.05
Wolverhampton Wanderers,Premier League,2021/2022,376.95
West Ham United,Premier League,2021/2022,354.9
Brighton & Hove Albion,Premier League,2021/2022,318.0
Newcastle United,Premier League,2021/2022,313.9
Leeds United,Premier League,2021/2022,299.45
Southampton FC,Premier League,2021/2022,274.3
Brentford FC,Premier League,2021/2022,273.3
Crystal Palace,Premier League,2021/2022,271.05
Norwich City,Premier League,2021/2022,163.2
Watford FC,Premier League,2021/2022,156.2
Burnley FC,Premier League,2021/2022,137.85
Manchester City,Premier League,2022/2023,1.15
Arsenal FC,Premier League,2022/2023,1.0
Chelsea FC,Premier League,2022/2023,994.95
Manchester United,Premier League,2022/2023,847.75
Liverpool FC,Premier League,2022/2023,811.85
Tottenham Hotspur,Premier League,2022/2023,649.1
Newcastle United,Premier League,2022/2023,541.6
Brighton & Hove Albion,Premier League,2022/2023,529.8
Aston Villa,Premier League,2022/2023,509.55
Wolverhampton Wanderers,Premier League,2022/2023,497.65
Leicester City,Premier League,2022/2023,490.7
West Ham United,Premier League,2022/2023,465.6
Southampton FC,Premier League,2022/2023,419.95
Everton FC,Premier League,2022/2023,413.15
Nottingham Forest,Premier League,2022/2023,376.25
Brentford FC,Premier League,2022/2023,371.2
Leeds United,Premier League,2022/2023,345.15
Crystal Palace,Premier League,2022/2023,323.05
Fulham FC,Premier League,2022/2023,295.1
AFC Bournemouth,Premier League,2022/2023,287.2
Manchester City,Premier League,2023/2024,1.46
Arsenal FC,Premier League,2023/2024,1.2
Chelsea FC,Premier League,2023/2024,1.01
Liverpool FC,Premier League,2023/2024,955.65
Tottenham Hotspur,Premier League,2023/2024,838.5
Manchester United,Premier League,2023/2024,808.35
Aston Villa,Premier League,2023/2024,709.65
Newcastle United,Premier League,2023/2024,652.25
Brighton & Hove Albion,Premier League,2023/2024,524.4
Nottingham Forest,Premier League,2023/2024,501.35
West Ham United,Premier League,2023/2024,487.5
Crystal Palace,Premier League,2023/2024,446.58
Wolverhampton Wanderers,Premier League,2023/2024,442.73
Brentford FC,Premier League,2023/2024,428.78
AFC Bournemouth,Premier League,2023/2024,401.75
Everton FC,Premier League,2023/2024,391.75
Fulham FC,Premier League,2023/2024,384.35
Burnley FC,Premier League,2023/2024,273.48
Sheffield United,Premier League,2023/2024,152.35
Luton Town,Premier League,2023/2024,140.9
Manchester City,Premier League,2024/2025,1.36
Chelsea FC,Premier League,2024/2025,1.19
Arsenal FC,Premier League,2024/2025,1.16
Liverpool FC,Premier League,2024/2025,950.95
Manchester United,Premier League,2024/2025,825.0
Tottenham Hotspur,Premier League,2024/2025,777.3
Aston Villa,Premier League,2024/2025,680.55
Newcastle United,Premier League,2024/2025,677.53
Brighton & Hove Albion,Premier League,2024/2025,667.58
Crystal Palace,Premier League,2024/2025,526.85
AFC Bournemouth,Premier League,2024/2025,518.6
Nottingham Forest,Premier League,2024/2025,481.3
Wolverhampton Wanderers,Premier League,2024/2025,433.05
Brentford FC,Premier League,2024/2025,427.85
West Ham United,Premier League,2024/2025,400.7
Everton FC,Premier League,2024/2025,363.23
Fulham FC,Premier League,2024/2025,362.35
Southampton FC,Premier League,2024/2025,310.05
Ipswich Town,Premier League,2024/2025,270.1
Leicester City,Premier League,2024/2025,253.35
FC Barcelona,La Liga,2019/2020,930.28
Real Madrid,La Liga,2019/2020,913.75
Atlético de Madrid,La Liga,2019/2020,720.15
Valencia CF,La Liga,2019/2020,427.8
Real Sociedad,La Liga,2019/2020,347.55
Sevilla FC,La Liga,2019/2020,294.75
Real Betis Balompié,La Liga,2019/2020,244.35
Athletic Bilbao,La Liga,2019/2020,211.75
Villarreal CF,La Liga,2019/2020,208.68
Getafe CF,La Liga,2019/2020,175.45
Celta de Vigo,La Liga,2019/2020,167.0
RCD Espanyol Barcelona,La Liga,2019/2020,156.05
CD Leganés,La Liga,2019/2020,109.7
Deportivo Alavés,La Liga,2019/2020,106.75
Levante UD,La Liga,2019/2020,90.5
Real Valladolid CF,La Liga,2019/2020,87.78
RCD Mallorca,La Liga,2019/2020,64.68
CA Osasuna,La Liga,2019/2020,62.78
Granada CF,La Liga,2019/2020,56.58
SD Eibar,La Liga,2019/2020,53.75
FC Barcelona,La Liga,2020/2021,813.5
