match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
69164,2005-10-26,20:30:00.000,Spain - La Liga,2005/2006,Barcelona,Málaga,2,0,available,scheduled,2022-07-03T12:34:31.749038,2021-06-13T16:17:31.694,11,Regular Season,Spotify Camp Nou,Puentes Leira,Frank Rijkaard,Antonio Tapia Flores,1.1.0,2,2
68324,2006-01-22,19:00:00.000,Spain - La Liga,2005/2006,Barcelona,Deportivo Alavés,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,20,Regular Season,Spotify Camp Nou,Turienzo,,,1.1.0,2,2
68320,2005-12-04,19:00:00.000,Spain - La Liga,2005/2006,Villarreal,Barcelona,0,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,14,Regular Season,Estadio de la Cerámica,César Muñiz,Manuel Luis Pellegrini Ripamonti,Frank Rijkaard,1.1.0,2,2
68323,2005-12-20,21:00:00.000,Spain - La Liga,2005/2006,Barcelona,Celta Vigo,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,17,Regular Season,Spotify Camp Nou,Miguel Pérez,Frank Rijkaard,Fernando Vázquez Pena,1.1.0,2,2
69172,2006-02-18,22:00:00.000,Spain - La Liga,2005/2006,Barcelona,Real Betis,5,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,24,Regular Season,Spotify Camp Nou,Eduardo Iturralde Gonzalez,,,1.1.0,2,2
68339,2005-11-06,21:00:00.000,Spain - La Liga,2005/2006,Getafe,Barcelona,1,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,Regular Season,Coliseum Alfonso Pérez,Arturo Daudén Ibáñez,Bernd Schuster,Frank Rijkaard,1.1.0,2,2
68348,2006-01-07,22:00:00.000,Spain - La Liga,2005/2006,Espanyol,Barcelona,1,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,18,Regular Season,Estadi Olímpic Lluís Companys,Bernardino Gonzalez,Miguel Ángel Lotina Oruecheberría,Frank Rijkaard,1.1.0,2,2
68354,2005-11-27,21:00:00.000,Spain - La Liga,2005/2006,Barcelona,Racing Santander,4,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,13,Regular Season,Spotify Camp Nou,Rafael Ramírez Domínguez,Frank Rijkaard,Manuel Preciado Rebolledo,1.1.0,2,2
68351,2006-02-25,22:00:00.000,Spain - La Liga,2005/2006,Real Zaragoza,Barcelona,0,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,25,Regular Season,Estadio de la Romareda,Victor José Esquinas Torres,Víctor Muñoz Manrique,Frank Rijkaard,1.1.0,2,2
68317,2005-10-01,20:00:00.000,Spain - La Liga,2005/2006,Barcelona,Real Zaragoza,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Spotify Camp Nou,Carlos Megía Dávila,Frank Rijkaard,Víctor Muñoz Manrique,1.1.0,2,2
68350,2006-02-05,19:00:00.000,Spain - La Liga,2005/2006,Barcelona,Atlético Madrid,1,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,22,Regular Season,Spotify Camp Nou,Vicente José Lizondo Cortés,,,1.1.0,2,2
68325,2006-01-29,19:00:00.000,Spain - La Liga,2005/2006,Mallorca,Barcelona,0,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,21,Regular Season,Estadi Mallorca Son Moix,Carlos Megía Dávila,Héctor Raúl Cúper,Frank Rijkaard,1.1.0,2,2
68321,2005-12-11,21:00:00.000,Spain - La Liga,2005/2006,Barcelona,Sevilla,2,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,15,Regular Season,Spotify Camp Nou,Julian Rodriguez Santiago,Frank Rijkaard,Juan de la Cruz Ramos Cano,1.1.0,2,2
68319,2005-11-19,20:00:00.000,Spain - La Liga,2005/2006,Real Madrid,Barcelona,0,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,12,Regular Season,Estadio Santiago Bernabéu,Eduardo Iturralde Gonzalez,Vanderlei Luxemburgo da Silva,Frank Rijkaard,1.1.0,2,2
68342,2006-01-15,19:00:00.000,Spain - La Liga,2005/2006,Barcelona,Athletic Club,2,1,available,scheduled,2021-11-28T23:00:27.747396,2021-06-13T16:17:31.694,19,Regular Season,Spotify Camp Nou,Fernando Teixeira,Frank Rijkaard,Javier Clemente Lazaro,1.1.0,2,2
68322,2005-12-17,22:00:00.000,Spain - La Liga,2005/2006,Cádiz,Barcelona,1,3,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,16,Regular Season,Estadio Nuevo Mirandilla,Miguel Ayza,Víctor Rodolfo Espárrago Videla,Frank Rijkaard,1.1.0,2,2
68318,2005-10-22,22:00:00.000,Spain - La Liga,2005/2006,Barcelona,Osasuna,3,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,8,Regular Season,Spotify Camp Nou,César Muñiz,Frank Rijkaard,Javier Aguirre Onaindía,1.1.0,2,2
