team_name,league,season,squad_value_m,tier,team_id,season_idx,country
1. FC Heidenheim,Bundesliga,2024/2025,72.53,1,487,5,Germany
1. FC Köln,Bundesliga,2019/2020,98.48,1,36,0,Germany
1. FC Köln,Bundesliga,2020/2021,118.2,1,36,1,Germany
1. FC Köln,Bundesliga,2021/2022,99.28,1,36,2,Germany
1. FC Köln,Bundesliga,2022/2023,115.65,1,36,3,Germany
1. FC Köln,Bundesliga,2023/2024,81.45,1,36,4,Germany
1899 Hoffenheim,Bundesliga,2019/2020,226.05,1,48,0,Germany
1899 Hoffenheim,Bundesliga,2020/2021,228.15,1,48,1,Germany
1899 Hoffenheim,Bundesliga,2021/2022,211.43,1,48,2,Germany
1899 Hoffenheim,Bundesliga,2022/2023,178.8,1,48,3,Germany
1899 Hoffenheim,Bundesliga,2023/2024,176.0,1,48,4,Germany
1899 Hoffenheim,Bundesliga,2024/2025,187.1,1,48,5,Germany
AC Horsens,Danish Superliga,2019/2020,7.55,2,83,0,Denmark
AC Horsens,Danish Superliga,2020/2021,8.9,2,83,1,Denmark
AC Horsens,Danish Superliga,2022/2023,15.3,2,83,3,Denmark
AC Milan,Serie A,2019/2020,404.33,1,268,0,Italy
AC Milan,Serie A,2020/2021,547.78,1,268,1,Italy
AC Milan,Serie A,2021/2022,546.95,1,268,2,Italy
AC Milan,Serie A,2022/2023,545.1,1,268,3,Italy
AC Milan,Serie A,2023/2024,571.41,1,268,4,Italy
AC Milan,Serie A,2024/2025,581.7,1,268,5,Italy
ADO Den Haag,Eredivisie,2019/2020,19.4,1,137,0,Netherlands
ADO Den Haag,Eredivisie,2020/2021,15.98,1,137,1,Netherlands
ADO Den Haag,Eredivisie,2021/2022,,1,137,2,Netherlands
ADO Den Haag,Eredivisie,2023/2024,,1,137,4,Netherlands
ADO Den Haag,Eredivisie,2024/2025,,1,137,5,Netherlands
AEK Athens FC,Super League Greece,2019/2020,30.53,3,290,0,Greece
AEK Athens FC,Super League Greece,2020/2021,40.15,3,290,1,Greece
AEK Athens FC,Super League Greece,2021/2022,48.83,3,290,2,Greece
AEK Athens FC,Super League Greece,2022/2023,57.15,3,290,3,Greece
AEK Athens FC,Super League Greece,2023/2024,70.6,3,290,4,Greece
AEK Athens FC,Super League Greece,2024/2025,74.25,3,290,5,Greece
AFC Hermannstadt,Liga I,2019/2020,8.83,3,171,0,Romania
AFC Hermannstadt,Liga I,2020/2021,9.85,3,171,1,Romania
AFC Hermannstadt,Liga I,2022/2023,10.34,3,171,3,Romania
AFC Hermannstadt,Liga I,2023/2024,13.33,3,171,4,Romania
AFC Hermannstadt,Liga I,2024/2025,12.75,3,171,5,Romania
AIK Stockholm,Allsvenskan,2019/2020,21.4,2,1,0,Sweden
AIK Stockholm,Allsvenskan,2020/2021,16.63,2,1,1,Sweden
AIK Stockholm,Allsvenskan,2021/2022,20.35,2,1,2,Sweden
AIK Stockholm,Allsvenskan,2022/2023,24.11,2,1,3,Sweden
AIK Stockholm,Allsvenskan,2023/2024,27.5,2,1,4,Sweden
AIK Stockholm,Allsvenskan,2024/2025,27.75,2,1,5,Sweden
AS Eupen,Belgian Pro League,2019/2020,26.05,1,28,0,Belgium
AS Eupen,Belgian Pro League,2020/2021,21.1,1,28,1,Belgium
AS Eupen,Belgian Pro League,2021/2022,21.03,1,28,2,Belgium
AS Eupen,Belgian Pro League,2022/2023,19.73,1,28,3,Belgium
AS Eupen,Belgian Pro League,2023/2024,18.03,1,28,4,Belgium
AS Roma,Serie A,2019/2020,392.73,1,269,0,Italy
AS Roma,Serie A,2020/2021,395.65,1,269,1,Italy
AS Roma,Serie A,2021/2022,381.25,1,269,2,Italy
AS Roma,Serie A,2022/2023,361.38,1,269,3,Italy
AS Roma,Serie A,2023/2024,340.4,1,269,4,Italy
AS Roma,Serie A,2024/2025,390.3,1,269,5,Italy
AVS,Primeira Liga,2023/2024,,1,472,4,Portugal
AVS,Primeira Liga,2024/2025,20.7,1,472,5,Portugal
AZ Alkmaar,Eredivisie,2019/2020,130.05,1,138,0,Netherlands
AZ Alkmaar,Eredivisie,2020/2021,135.53,1,138,1,Netherlands
AZ Alkmaar,Eredivisie,2021/2022,99.23,1,138,2,Netherlands
AZ Alkmaar,Eredivisie,2022/2023,135.93,1,138,3,Netherlands
AZ Alkmaar,Eredivisie,2023/2024,131.15,1,138,4,Netherlands
AZ Alkmaar,Eredivisie,2024/2025,133.2,1,138,5,Netherlands
Aalborg,Danish Superliga,2019/2020,12.78,2,84,0,Denmark
Aalborg,Danish Superliga,2020/2021,14.8,2,84,1,Denmark
Aalborg,Danish Superliga,2021/2022,16.15,2,84,2,Denmark
Aalborg,Danish Superliga,2022/2023,19.4,2,84,3,Denmark
Aalborg,Danish Superliga,2024/2025,21.98,2,84,5,Denmark
Aalesund,Eliteserien,2020/2021,,2,345,1,Norway
Aalesund,Eliteserien,2022/2023,9.2,2,345,3,Norway
Aalesund,Eliteserien,2023/2024,,2,345,4,Norway
Aarhus,Danish Superliga,2019/2020,12.73,2,93,0,Denmark
Aarhus,Danish Superliga,2020/2021,22.4,2,93,1,Denmark
Aarhus,Danish Superliga,2021/2022,18.7,2,93,2,Denmark
Aarhus,Danish Superliga,2022/2023,26.2,2,93,3,Denmark
Aarhus,Danish Superliga,2023/2024,25.33,2,93,4,Denmark
Aarhus,Danish Superliga,2024/2025,25.93,2,93,5,Denmark
Aberdeen,Scottish Premiership,2019/2020,15.48,2,260,0,Scotland
Aberdeen,Scottish Premiership,2020/2021,19.93,2,260,1,Scotland
Aberdeen,Scottish Premiership,2021/2022,19.55,2,260,2,Scotland
Aberdeen,Scottish Premiership,2022/2023,17.08,2,260,3,Scotland
Aberdeen,Scottish Premiership,2023/2024,19.28,2,260,4,Scotland
Aberdeen,Scottish Premiership,2024/2025,30.58,2,260,5,Scotland
Adana Demirspor,Super Lig,2021/2022,46.0,2,422,2,Turkey
Adana Demirspor,Super Lig,2022/2023,57.65,2,422,3,Turkey
Adana Demirspor,Super Lig,2023/2024,53.3,2,422,4,Turkey
Adana Demirspor,Super Lig,2024/2025,19.95,2,422,5,Turkey
Admira Wacker,Bundesliga Austria,2019/2020,11.13,2,55,0,Austria
Admira Wacker,Bundesliga Austria,2020/2021,12.18,2,55,1,Austria
Admira Wacker,Bundesliga Austria,2021/2022,13.7,2,55,2,Austria
