team_name,league,country,team_id,tier
AIK Stockholm,Allsvenskan,Sweden,1,2
Falkenbergs FF,Allsvenskan,Sweden,2,2
Helsingborg,Allsvenskan,Sweden,3,2
IFK Goteborg,Allsvenskan,Sweden,4,2
IFK Norrkoping,Allsvenskan,Sweden,5,2
Kalmar FF,Allsvenskan,Sweden,6,2
Orebro SK,Allsvenskan,Sweden,7,2
Ostersunds FK,Allsvenskan,Sweden,8,2
Sirius,Allsvenskan,Sweden,9,2
Vasby United,Allsvenskan,Sweden,10,2
BK Hacken,Allsvenskan,Sweden,11,2
Djurgardens IF,Allsvenskan,Sweden,12,2
GIF Sundsvall,Allsvenskan,Sweden,13,2
Hammarby FF,Allsvenskan,Sweden,14,2
IF Elfsborg,Allsvenskan,Sweden,15,2
Malmo FF,Allsvenskan,Sweden,16,2
IK brage,Allsvenskan,Sweden,17,2
Genk,Belgian Pro League,Belgium,18,1
Kortrijk,Belgian Pro League,Belgium,19,1
Cercle Brugge,Belgian Pro League,Belgium,20,1
Club Brugge KV,Belgian Pro League,Belgium,21,1
KV Mechelen,Belgian Pro League,Belgium,22,1
Royal Excel Mouscron,Belgian Pro League,Belgium,23,1
SK Beveren,Belgian Pro League,Belgium,24,1
St. Truiden,Belgian Pro League,Belgium,25,1
Standard Liege,Belgian Pro League,Belgium,26,1
Zulte Waregem,Belgian Pro League,Belgium,27,1
AS Eupen,Belgian Pro League,Belgium,28,1
Anderlecht,Belgian Pro League,Belgium,29,1
Antwerp,Belgian Pro League,Belgium,30,1
Charleroi,Belgian Pro League,Belgium,31,1
Gent,Belgian Pro League,Belgium,32,1
Oostende,Belgian Pro League,Belgium,33,1
Bayern Munich,Bundesliga,Germany,34,1
Hertha Berlin,Bundesliga,Germany,35,1
1. FC Köln,Bundesliga,Germany,36,1
Bayer Leverkusen,Bundesliga,Germany,37,1
Borussia Dortmund,Bundesliga,Germany,38,1
Borussia Monchengladbach,Bundesliga,Germany,39,1
FC Augsburg,Bundesliga,Germany,40,1
FC Schalke 04,Bundesliga,Germany,41,1
FSV Mainz 05,Bundesliga,Germany,42,1
Fortuna Dusseldorf,Bundesliga,Germany,43,1
SC Freiburg,Bundesliga,Germany,44,1
SC Paderborn 07,Bundesliga,Germany,45,1
VfL Wolfsburg,Bundesliga,Germany,46,1
Werder Bremen,Bundesliga,Germany,47,1
1899 Hoffenheim,Bundesliga,Germany,48,1
Eintracht Frankfurt,Bundesliga,Germany,49,1
RB Leipzig,Bundesliga,Germany,50,1
Union Berlin,Bundesliga,Germany,51,1
FC Heidenheim,Bundesliga,Germany,52,1
Rapid Vienna,Bundesliga Austria,Austria,53,2
Red Bull Salzburg,Bundesliga Austria,Austria,54,2
Admira Wacker,Bundesliga Austria,Austria,55,2
Austria Vienna,Bundesliga Austria,Austria,56,2
WSG Wattens,Bundesliga Austria,Austria,57,2
Wolfsberger AC,Bundesliga Austria,Austria,58,2
Lask Linz,Bundesliga Austria,Austria,59,2
SCR Altach,Bundesliga Austria,Austria,60,2
SKN ST. Polten,Bundesliga Austria,Austria,61,2
SV Mattersburg,Bundesliga Austria,Austria,62,2
Sturm Graz,Bundesliga Austria,Austria,63,2
TSV Hartberg,Bundesliga Austria,Austria,64,2
Bohemians 1905,Czech First League,Czechia,65,3
FK Jablonec,Czech First League,Czechia,66,3
Baník Ostrava,Czech First League,Czechia,67,3
Plzen,Czech First League,Czechia,68,3
Příbram,Czech First League,Czechia,69,3
Sigma Olomouc,Czech First League,Czechia,70,3
Slovan Liberec,Czech First League,Czechia,71,3
Teplice,Czech First League,Czechia,72,3
Karviná,Czech First League,Czechia,73,3
Mlada Boleslav,Czech First League,Czechia,74,3
Opava,Czech First League,Czechia,75,3
Slovácko,Czech First League,Czechia,76,3
Sparta Praha,Czech First League,Czechia,77,3
České Budějovice,Czech First League,Czechia,78,3
Slavia Praha,Czech First League,Czechia,79,3
Zlin,Czech First League,Czechia,80,3
Esbjerg,Danish Superliga,Denmark,81,2
FC Midtjylland,Danish Superliga,Denmark,82,2
AC Horsens,Danish Superliga,Denmark,83,2
Aalborg,Danish Superliga,Denmark,84,2
Brondby,Danish Superliga,Denmark,85,2
FC Copenhagen,Danish Superliga,Denmark,86,2
FC Nordsjaelland,Danish Superliga,Denmark,87,2
Lyngby,Danish Superliga,Denmark,88,2
Odense,Danish Superliga,Denmark,89,2
Randers FC,Danish Superliga,Denmark,90,2
Silkeborg,Danish Superliga,Denmark,91,2
Sonderjyske,Danish Superliga,Denmark,92,2
Aarhus,Danish Superliga,Denmark,93,2
Hobro,Danish Superliga,Denmark,94,2
Arka Gdynia,Ekstraklasa,Poland,95,3
Jagiellonia,Ekstraklasa,Poland,96,3
Lechia Gdansk,Ekstraklasa,Poland,97,3
ŁKS Łódź,Ekstraklasa,Poland,98,3
Korona Kielce,Ekstraklasa,Poland,99,3
Lech Poznan,Ekstraklasa,Poland,100,3
Piast Gliwice,Ekstraklasa,Poland,101,3
Raków Częstochowa,Ekstraklasa,Poland,102,3
Slask Wroclaw,Ekstraklasa,Poland,103,3
Wisla Krakow,Ekstraklasa,Poland,104,3
Cracovia Krakow,Ekstraklasa,Poland,105,3
Legia Warszawa,Ekstraklasa,Poland,106,3
Pogon Szczecin,Ekstraklasa,Poland,107,3
Zaglebie Lubin,Ekstraklasa,Poland,108,3
Gornik Zabrze,Ekstraklasa,Poland,109,3
Wisla Plock,Ekstraklasa,Poland,110,3
Brann,Eliteserien,Norway,111,2
Mjondalen,Eliteserien,Norway,112,2
ODD Ballklubb,Eliteserien,Norway,113,2
Valerenga,Eliteserien,Norway,114,2
Bodo/Glimt,Eliteserien,Norway,115,2
Haugesund,Eliteserien,Norway,116,2
Kristiansund BK,Eliteserien,Norway,117,2
Molde,Eliteserien,Norway,118,2
Ranheim,Eliteserien,Norway,119,2
Rosenborg,Eliteserien,Norway,120,2
Sarpsborg 08 FF,Eliteserien,Norway,121,2
Stromsgodset,Eliteserien,Norway,122,2
Tromso,Eliteserien,Norway,123,2
Viking,Eliteserien,Norway,124,2
Lillestrom,Eliteserien,Norway,125,2
Stabaek,Eliteserien,Norway,126,2
PEC Zwolle,Eredivisie,Netherlands,127,1
Willem II,Eredivisie,Netherlands,128,1
Ajax,Eredivisie,Netherlands,129,1
Emmen,Eredivisie,Netherlands,130,1
Groningen,Eredivisie,Netherlands,131,1
PSV Eindhoven,Eredivisie,Netherlands,132,1
Twente,Eredivisie,Netherlands,133,1
VVV Venlo,Eredivisie,Netherlands,134,1
Vitesse,Eredivisie,Netherlands,135,1
Waalwijk,Eredivisie,Netherlands,136,1
ADO Den Haag,Eredivisie,Netherlands,137,1
AZ Alkmaar,Eredivisie,Netherlands,138,1
Feyenoord,Eredivisie,Netherlands,139,1
Fortuna Sittard,Eredivisie,Netherlands,140,1
Heerenveen,Eredivisie,Netherlands,141,1
Heracles,Eredivisie,Netherlands,142,1
Sparta Rotterdam,Eredivisie,Netherlands,143,1
Utrecht,Eredivisie,Netherlands,144,1
Athletic Club,La Liga,Spain,145,1
Barcelona,La Liga,Spain,146,1
Celta Vigo,La Liga,Spain,147,1
Eibar,La Liga,Spain,148,1
Granada CF,La Liga,Spain,149,1
Leganes,La Liga,Spain,150,1
Mallorca,La Liga,Spain,151,1
Osasuna,La Liga,Spain,152,1
Real Madrid,La Liga,Spain,153,1
Real Sociedad,La Liga,Spain,154,1
Valencia,La Liga,Spain,155,1
Villarreal,La Liga,Spain,156,1
Alaves,La Liga,Spain,157,1
Atletico Madrid,La Liga,Spain,158,1
Espanyol,La Liga,Spain,159,1
Getafe,La Liga,Spain,160,1
Levante,La Liga,Spain,161,1
Real Betis,La Liga,Spain,162,1
Sevilla,La Liga,Spain,163,1
Valladolid,La Liga,Spain,164,1
FC Voluntari,Liga I,Romania,165,3
Sepsi OSK Sfantu Gheorghe,Liga I,Romania,166,3
CFR 1907 Cluj,Liga I,Romania,167,3
FC Astra Giurgiu,Liga I,Romania,168,3
FC Botosani,Liga I,Romania,169,3
Politehnica Iasi,Liga I,Romania,170,3
AFC Hermannstadt,Liga I,Romania,171,3
CS Universitatea Craiova,Liga I,Romania,172,3
FC Clinceni,Liga I,Romania,173,3
FCSB,Liga I,Romania,174,3
Chindia Targoviste,Liga I,Romania,175,3
Dinamo Bucuresti,Liga I,Romania,176,3
