club_id,club_name,league,manager_name,season,start_date,end_date,fired,mid_season_fire,hire_type,reason
281,Manchester City,Premier League,Pep Guardiola,2016/2017,2016-07-01,,False,False,Permanent,inferred
31,Liverpool FC,Premier League,Arne Slot,2024/2025,2024-07-01,,False,False,Permanent,inferred
31,Liverpool FC,Premier League,Jürgen Klopp,2015/2016,2015-10-08,2024-06-30,False,False,Permanent,inferred
148,Tottenham Hotspur,Premier League,Ange Postecoglou,2023/2024,2023-07-01,2025-06-06,False,False,Permanent,inferred
148,Tottenham Hotspur,Premier League,Ryan Mason,2022/2023,2023-04-24,2023-06-30,False,False,Permanent,inferred
148,Tottenham Hotspur,Premier League,Cristian Stellini,2022/2023,2023-03-26,2023-04-24,True,True,Permanent,inferred
148,Tottenham Hotspur,Premier League,Antonio Conte,2021/2022,2021-11-02,2023-03-26,True,True,Permanent,inferred
148,Tottenham Hotspur,Premier League,Nuno Espírito Santo,2021/2022,2021-07-01,2021-11-01,True,True,Permanent,inferred
148,Tottenham Hotspur,Premier League,Ryan Mason,2020/2021,2021-04-20,2021-06-30,False,False,Permanent,inferred
148,Tottenham Hotspur,Premier League,José Mourinho,2019/2020,2019-11-20,2021-04-19,True,True,Permanent,inferred
148,Tottenham Hotspur,Premier League,Mauricio Pochettino,2014/2015,2014-07-01,2019-11-19,True,True,Permanent,inferred
631,Chelsea FC,Premier League,Enzo Maresca,2024/2025,2024-07-01,2026-01-01,True,True,Permanent,inferred
631,Chelsea FC,Premier League,Mauricio Pochettino,2023/2024,2023-07-01,2024-06-30,False,False,Permanent,inferred
631,Chelsea FC,Premier League,Frank Lampard,2022/2023,2023-04-06,2023-06-30,False,False,Permanent,inferred
631,Chelsea FC,Premier League,Bruno Saltor,2022/2023,2023-04-03,2023-04-05,True,True,Permanent,inferred
631,Chelsea FC,Premier League,Graham Potter,2022/2023,2022-09-08,2023-04-02,True,True,Permanent,inferred
631,Chelsea FC,Premier League,Thomas Tuchel,2020/2021,2021-01-26,2022-09-07,True,True,Permanent,inferred
631,Chelsea FC,Premier League,Frank Lampard,2019/2020,2019-07-04,2021-01-25,True,True,Permanent,inferred
985,Manchester United,Premier League,Rúben Amorim,2024/2025,2024-11-11,2026-01-05,True,True,Permanent,inferred
985,Manchester United,Premier League,Ruud van Nistelrooy,2024/2025,2024-10-28,2024-11-11,True,True,Permanent,inferred
985,Manchester United,Premier League,Erik ten Hag,2022/2023,2022-07-01,2024-10-28,True,True,Permanent,inferred
985,Manchester United,Premier League,Ralf Rangnick,2021/2022,2021-12-03,2022-05-31,False,False,Permanent,inferred
985,Manchester United,Premier League,Michael Carrick,2021/2022,2021-11-21,2021-12-03,True,True,Permanent,inferred
985,Manchester United,Premier League,Ole Gunnar Solskjaer,2018/2019,2019-03-28,2021-11-21,True,True,Permanent,inferred
11,Arsenal FC,Premier League,Mikel Arteta,2019/2020,2019-12-22,,False,False,Permanent,inferred
11,Arsenal FC,Premier League,Freddie Ljungberg,2019/2020,2019-11-29,2019-12-21,True,True,Permanent,inferred
11,Arsenal FC,Premier League,Unai Emery,2018/2019,2018-07-01,2019-11-29,True,True,Permanent,inferred
29,Everton FC,Premier League,David Moyes,2024/2025,2025-01-11,,False,False,Permanent,inferred
29,Everton FC,Premier League,Leighton Baines,2024/2025,2025-01-09,2025-01-10,True,True,Permanent,inferred
29,Everton FC,Premier League,Sean Dyche,2022/2023,2023-01-30,2025-01-09,True,True,Permanent,inferred
29,Everton FC,Premier League,Leighton Baines,2022/2023,2023-01-24,2023-01-29,True,True,Permanent,inferred
29,Everton FC,Premier League,Paul Tait,2022/2023,2023-01-24,2023-01-29,True,True,Permanent,inferred
29,Everton FC,Premier League,Frank Lampard,2021/2022,2022-01-31,2023-01-23,True,True,Permanent,inferred
29,Everton FC,Premier League,Duncan Ferguson,2021/2022,2022-01-18,2022-01-30,True,True,Permanent,inferred
29,Everton FC,Premier League,Rafael Benítez,2021/2022,2021-07-01,2022-01-16,True,True,Permanent,inferred
29,Everton FC,Premier League,Carlo Ancelotti,2019/2020,2019-12-22,2021-06-30,False,False,Permanent,inferred
29,Everton FC,Premier League,Duncan Ferguson,2019/2020,2019-12-05,2019-12-21,True,True,Permanent,inferred
29,Everton FC,Premier League,Marco Silva,2018/2019,2018-07-01,2019-12-05,True,True,Permanent,inferred
1003,Leicester City,Premier League,Ruud van Nistelrooy,2024/2025,2024-12-01,2025-06-27,False,False,Permanent,inferred
1003,Leicester City,Premier League,Ben Dawson,2024/2025,2024-11-25,2024-11-30,True,True,Permanent,inferred
1003,Leicester City,Premier League,Steve Cooper,2024/2025,2024-07-01,2024-11-24,True,True,Permanent,inferred
1003,Leicester City,Premier League,Enzo Maresca,2023/2024,2023-07-01,2024-06-30,False,False,Permanent,inferred
1003,Leicester City,Premier League,Dean Smith,2022/2023,2023-04-11,2023-06-30,False,False,Permanent,inferred
1003,Leicester City,Premier League,Mike Stowell,2022/2023,2023-04-03,2023-04-10,True,True,Permanent,inferred
1003,Leicester City,Premier League,Adam Sadler,2022/2023,2023-04-03,2023-04-10,True,True,Permanent,inferred
1003,Leicester City,Premier League,Brendan Rodgers,2018/2019,2019-02-27,2023-04-02,True,True,Permanent,inferred
543,Wolverhampton Wanderers,Premier League,Vítor Pereira,2024/2025,2024-12-19,2025-11-02,True,True,Permanent,inferred
543,Wolverhampton Wanderers,Premier League,Gary O'Neil,2023/2024,2023-08-09,2024-12-15,True,True,Permanent,inferred
543,Wolverhampton Wanderers,Premier League,Julen Lopetegui,2022/2023,2022-11-14,2023-08-08,True,True,Permanent,inferred
543,Wolverhampton Wanderers,Premier League,Steve Davis,2022/2023,2022-10-03,2022-11-13,True,True,Permanent,inferred
543,Wolverhampton Wanderers,Premier League,Bruno Lage,2021/2022,2021-07-01,2022-10-02,True,True,Permanent,inferred
543,Wolverhampton Wanderers,Premier League,Nuno Espírito Santo,2017/2018,2017-07-01,2021-06-30,False,False,Permanent,inferred
379,West Ham United,Premier League,Graham Potter,2024/2025,2025-01-09,2025-09-27,True,True,Permanent,inferred
379,West Ham United,Premier League,Julen Lopetegui,2024/2025,2024-07-01,2025-01-08,True,True,Permanent,inferred
379,West Ham United,Premier League,David Moyes,2019/2020,2019-12-29,2024-06-30,False,False,Permanent,inferred
379,West Ham United,Premier League,Manuel Pellegrini,2018/2019,2018-07-01,2019-12-28,True,True,Permanent,inferred
989,AFC Bournemouth,Premier League,Andoni Iraola,2023/2024,2023-07-01,,False,False,Permanent,inferred
989,AFC Bournemouth,Premier League,Gary O'Neil,2022/2023,2022-11-28,2023-06-19,False,False,Permanent,inferred
989,AFC Bournemouth,Premier League,Gary O'Neil,2022/2023,2022-08-30,2022-11-27,True,True,Permanent,inferred
989,AFC Bournemouth,Premier League,Scott Parker,2021/2022,2021-07-01,2022-08-30,True,True,Permanent,inferred
989,AFC Bournemouth,Premier League,Jonathan Woodgate,2020/2021,2021-02-04,2021-06-30,False,False,Permanent,inferred
989,AFC Bournemouth,Premier League,Jason Tindall,2020/2021,2020-08-08,2021-02-03,True,True,Permanent,inferred
989,AFC Bournemouth,Premier League,Eddie Howe,2012/2013,2012-10-14,2020-08-01,True,True,Permanent,inferred
762,Newcastle United,Premier League,Eddie Howe,2021/2022,2021-11-08,,False,False,Permanent,inferred
762,Newcastle United,Premier League,Graeme Jones,2021/2022,2021-10-20,2021-11-07,True,True,Permanent,inferred
762,Newcastle United,Premier League,Steve Bruce,2019/2020,2019-07-17,2021-10-20,True,True,Permanent,inferred
405,Aston Villa,Premier League,Unai Emery,2022/2023,2022-11-01,,False,False,Permanent,inferred
405,Aston Villa,Premier League,Aaron Danks,2022/2023,2022-10-21,2022-10-31,True,True,Permanent,inferred
405,Aston Villa,Premier League,Steven Gerrard,2021/2022,2021-11-11,2022-10-20,True,True,Permanent,inferred
405,Aston Villa,Premier League,Dean Smith,2018/2019,2018-10-10,2021-11-07,True,True,Permanent,inferred
180,Southampton FC,Premier League,Simon Rusk,2024/2025,2025-04-07,2025-05-31,False,False,Permanent,inferred
180,Southampton FC,Premier League,Ivan Juric,2024/2025,2024-12-23,2025-04-07,True,True,Permanent,inferred
180,Southampton FC,Premier League,Simon Rusk,2024/2025,2024-12-15,2024-12-22,True,True,Permanent,inferred
180,Southampton FC,Premier League,Russell Martin,2023/2024,2023-07-01,2024-12-15,True,True,Permanent,inferred
180,Southampton FC,Premier League,Rubén Sellés,2022/2023,2023-02-24,2023-06-30,False,False,Permanent,inferred
180,Southampton FC,Premier League,Rubén Sellés,2022/2023,2023-02-13,2023-02-23,True,True,Permanent,inferred
180,Southampton FC,Premier League,Nathan Jones,2022/2023,2022-11-10,2023-02-12,True,True,Permanent,inferred
180,Southampton FC,Premier League,Rubén Sellés,2022/2023,2022-11-08,2022-11-09,True,True,Permanent,inferred
180,Southampton FC,Premier League,Ralph Hasenhüttl,2018/2019,2018-12-06,2022-11-07,True,True,Permanent,inferred
1237,Brighton & Hove Albion,Premier League,Fabian Hürzeler,2024/2025,2024-07-01,,False,False,Permanent,inferred
1237,Brighton & Hove Albion,Premier League,Roberto De Zerbi,2022/2023,2022-09-18,2024-06-30,False,False,Permanent,inferred
1237,Brighton & Hove Albion,Premier League,Andrew Crofts,2022/2023,2022-09-08,2022-09-17,True,True,Permanent,inferred
1237,Brighton & Hove Albion,Premier League,Graham Potter,2018/2019,2019-05-20,2022-09-07,True,True,Permanent,inferred
1010,Watford FC,Premier League,Paulo Pezzolano,2024/2025,2025-05-13,2025-10-08,True,True,Permanent,inferred
1010,Watford FC,Premier League,Tom Cleverley,2023/2024,2024-04-24,2025-05-06,False,False,Permanent,inferred
1010,Watford FC,Premier League,Tom Cleverley,2023/2024,2024-03-10,2024-04-23,True,True,Permanent,inferred
1010,Watford FC,Premier League,Valérien Ismaël,2023/2024,2023-07-01,2024-03-09,True,True,Permanent,inferred
1010,Watford FC,Premier League,Chris Wilder,2022/2023,2023-03-07,2023-05-10,False,False,Permanent,inferred
1010,Watford FC,Premier League,Slaven Bilic,2022/2023,2022-09-26,2023-03-07,True,True,Permanent,inferred
1010,Watford FC,Premier League,Rob Edwards,2022/2023,2022-07-01,2022-09-26,True,True,Permanent,inferred
1010,Watford FC,Premier League,Roy Hodgson,2021/2022,2022-01-25,2022-06-30,False,False,Permanent,inferred
1010,Watford FC,Premier League,Claudio Ranieri,2021/2022,2021-10-04,2022-01-24,True,True,Permanent,inferred
1010,Watford FC,Premier League,Xisco Muñoz,2020/2021,2020-12-20,2021-10-03,True,True,Permanent,inferred
1010,Watford FC,Premier League,Vladimir Ivic,2020/2021,2020-08-15,2020-12-19,True,True,Permanent,inferred
1010,Watford FC,Premier League,Hayden Mullins,2020/2021,2020-07-19,2020-07-27,False,False,Permanent,inferred
1010,Watford FC,Premier League,Nigel Pearson,2019/2020,2019-12-09,2020-07-19,False,False,Permanent,inferred
1010,Watford FC,Premier League,Hayden Mullins,2019/2020,2019-12-02,2019-12-08,True,True,Permanent,inferred
1010,Watford FC,Premier League,Quique Sánchez Flores,2019/2020,2019-09-07,2019-12-01,True,True,Permanent,inferred
1010,Watford FC,Premier League,Javi Gracia,2017/2018,2018-01-21,2019-09-07,True,True,Permanent,inferred
873,Crystal Palace,Premier League,Oliver Glasner,2023/2024,2024-02-20,2026-06-30,False,False,Permanent,inferred
873,Crystal Palace,Premier League,Ray Lewington,2023/2024,2024-02-19,2024-02-19,True,True,Permanent,inferred
873,Crystal Palace,Premier League,Patrick McCarthy,2023/2024,2024-02-19,2024-02-20,True,True,Permanent,inferred
873,Crystal Palace,Premier League,Roy Hodgson,2022/2023,2023-03-21,2024-02-19,True,True,Permanent,inferred
873,Crystal Palace,Premier League,Patrick McCarthy,2022/2023,2023-03-17,2023-03-20,True,True,Permanent,inferred
873,Crystal Palace,Premier League,Patrick Vieira,2021/2022,2021-07-04,2023-03-17,True,True,Permanent,inferred
873,Crystal Palace,Premier League,Roy Hodgson,2017/2018,2017-09-12,2021-06-30,False,False,Permanent,inferred
1132,Burnley FC,Premier League,Scott Parker,2024/2025,2024-07-05,,False,False,Permanent,inferred
1132,Burnley FC,Premier League,Vincent Kompany,2022/2023,2022-07-01,2024-06-30,False,False,Permanent,inferred
1132,Burnley FC,Premier League,Mike Jackson,2021/2022,2022-04-15,2022-06-30,False,False,Permanent,inferred
1132,Burnley FC,Premier League,Sean Dyche,2012/2013,2012-10-30,2022-04-15,True,True,Permanent,inferred
1123,Norwich City,Premier League,Jack Wilshere,2024/2025,2025-04-22,2025-05-04,False,False,Permanent,inferred
1123,Norwich City,Premier League,Johannes Hoff Thorup,2024/2025,2024-07-01,2025-04-22,True,True,Permanent,inferred
1123,Norwich City,Premier League,David Wagner,2022/2023,2023-01-06,2024-05-17,False,False,Permanent,inferred
1123,Norwich City,Premier League,Allan Russell,2022/2023,2022-12-28,2023-01-05,True,True,Permanent,inferred
1123,Norwich City,Premier League,Dean Smith,2021/2022,2021-11-15,2022-12-27,True,True,Permanent,inferred
1123,Norwich City,Premier League,Daniel Farke,2017/2018,2017-07-01,2021-11-06,True,True,Permanent,inferred
350,Sheffield United,Premier League,Chris Wilder,2023/2024,2023-12-05,2025-06-18,False,False,Permanent,inferred
350,Sheffield United,Premier League,Paul Heckingbottom,2021/2022,2021-11-25,2023-12-05,True,True,Permanent,inferred
350,Sheffield United,Premier League,Slavisa Jokanovic,2021/2022,2021-07-01,2021-11-25,True,True,Permanent,inferred
350,Sheffield United,Premier League,Paul Heckingbottom,2020/2021,2021-03-13,2021-06-30,False,False,Permanent,inferred
350,Sheffield United,Premier League,Chris Wilder,2015/2016,2016-05-12,2021-03-12,True,True,Permanent,inferred
931,Fulham FC,Premier League,Marco Silva,2021/2022,2021-07-01,,False,False,Permanent,inferred
931,Fulham FC,Premier League,Scott Parker,2018/2019,2019-02-28,2021-06-30,False,False,Permanent,inferred
399,Leeds United,Premier League,Daniel Farke,2023/2024,2023-07-04,,False,False,Permanent,inferred
399,Leeds United,Premier League,Sam Allardyce,2022/2023,2023-05-03,2023-06-30,False,False,Permanent,inferred
399,Leeds United,Premier League,Javi Gracia,2022/2023,2023-02-24,2023-05-02,False,False,Permanent,inferred
399,Leeds United,Premier League,Michael Skubala,2022/2023,2023-02-07,2023-02-23,True,True,Permanent,inferred
399,Leeds United,Premier League,Jesse Marsch,2021/2022,2022-02-28,2023-02-06,True,True,Permanent,inferred
399,Leeds United,Premier League,Marcelo Bielsa,2018/2019,2018-07-01,2022-02-27,True,True,Permanent,inferred
984,West Bromwich Albion,Premier League,James Morrison,2024/2025,2025-04-22,2025-06-30,False,False,Permanent,inferred
984,West Bromwich Albion,Premier League,Tony Mowbray,2024/2025,2025-01-19,2025-04-21,True,True,Permanent,inferred
984,West Bromwich Albion,Premier League,Chris Brunt,2024/2025,2024-12-25,2025-01-18,True,True,Permanent,inferred
984,West Bromwich Albion,Premier League,Carlos Corberán,2022/2023,2022-10-25,2024-12-24,True,True,Permanent,inferred
984,West Bromwich Albion,Premier League,Richard Beale,2022/2023,2022-10-11,2022-10-25,True,True,Permanent,inferred
984,West Bromwich Albion,Premier League,Steve Bruce,2021/2022,2022-02-03,2022-10-10,True,True,Permanent,inferred
984,West Bromwich Albion,Premier League,Valérien Ismaël,2021/2022,2021-07-01,2022-02-02,True,True,Permanent,inferred
984,West Bromwich Albion,Premier League,Sam Allardyce,2020/2021,2020-12-16,2021-06-30,False,False,Permanent,inferred
984,West Bromwich Albion,Premier League,Slaven Bilic,2019/2020,2019-07-01,2020-12-16,True,True,Permanent,inferred
1148,Brentford FC,Premier League,Thomas Frank,2018/2019,2018-10-16,2025-06-30,False,False,Permanent,inferred
703,Nottingham Forest,Premier League,Nuno Espírito Santo,2023/2024,2023-12-20,2025-09-09,True,True,Permanent,inferred
703,Nottingham Forest,Premier League,Steve Cooper,2021/2022,2021-09-21,2023-12-19,True,True,Permanent,inferred
703,Nottingham Forest,Premier League,Steven Reid,2021/2022,2021-09-16,2021-09-20,True,True,Permanent,inferred
703,Nottingham Forest,Premier League,Chris Hughton,2020/2021,2020-10-06,2021-09-16,True,True,Permanent,inferred
703,Nottingham Forest,Premier League,Sabri Lamouchi,2019/2020,2019-07-01,2020-10-06,True,True,Permanent,inferred
1031,Luton Town,Premier League,Matt Bloomfield,2024/2025,2025-01-14,2025-10-06,True,True,Permanent,inferred
1031,Luton Town,Premier League,Paul Trollope,2024/2025,2025-01-10,2025-01-14,True,True,Permanent,inferred
1031,Luton Town,Premier League,Rob Edwards,2022/2023,2022-11-17,2025-01-09,True,True,Permanent,inferred
1031,Luton Town,Premier League,Mick Harford,2022/2023,2022-11-10,2022-11-16,True,True,Permanent,inferred
1031,Luton Town,Premier League,Nathan Jones,2019/2020,2020-05-28,2022-11-09,True,True,Permanent,inferred
1031,Luton Town,Premier League,Mick Harford,2019/2020,2020-04-24,2020-05-28,False,False,Permanent,inferred
1031,Luton Town,Premier League,Graeme Jones,2018/2019,2019-05-07,2020-04-24,True,True,Permanent,inferred
677,Ipswich Town,Premier League,Kieran McKenna,2021/2022,2021-12-20,,False,False,Permanent,inferred
677,Ipswich Town,Premier League,John McGreal,2021/2022,2021-12-06,2021-12-19,True,True,Permanent,inferred
677,Ipswich Town,Premier League,Paul Cook,2020/2021,2021-03-02,2021-12-04,True,True,Permanent,inferred
677,Ipswich Town,Premier League,Matt Gill,2020/2021,2021-02-28,2021-03-02,True,True,Permanent,inferred
677,Ipswich Town,Premier League,Paul Lambert,2018/2019,2018-10-28,2021-02-28,True,True,Permanent,inferred
131,FC Barcelona,La Liga,Hansi Flick,2024/2025,2024-07-01,,False,False,Permanent,inferred
131,FC Barcelona,La Liga,Xavi,2021/2022,2021-11-06,2024-06-30,False,False,Permanent,inferred
131,FC Barcelona,La Liga,Sergi Barjuan,2021/2022,2021-10-28,2021-11-07,True,True,Permanent,inferred
131,FC Barcelona,La Liga,Ronald Koeman,2020/2021,2020-08-19,2021-10-28,True,True,Permanent,inferred
131,FC Barcelona,La Liga,Quique Setién,2019/2020,2020-01-13,2020-08-17,True,True,Permanent,inferred
131,FC Barcelona,La Liga,Ernesto Valverde,2017/2018,2017-07-01,2020-01-13,True,True,Permanent,inferred
418,Real Madrid,La Liga,Xabi Alonso,2024/2025,2025-06-01,2026-01-12,True,True,Permanent,inferred
418,Real Madrid,La Liga,Carlo Ancelotti,2021/2022,2021-07-01,2025-05-25,False,False,Permanent,inferred
418,Real Madrid,La Liga,Zinédine Zidane,2018/2019,2019-03-11,2021-06-30,False,False,Permanent,inferred
13,Atlético de Madrid,La Liga,Diego Simeone,2011/2012,2011-12-23,,False,False,Permanent,inferred
1049,Valencia CF,La Liga,Carlos Corberán,2024/2025,2024-12-25,,False,False,Permanent,inferred
1049,Valencia CF,La Liga,Rubén Baraja,2022/2023,2023-02-14,2024-12-23,True,True,Permanent,inferred
1049,Valencia CF,La Liga,Voro,2022/2023,2023-01-31,2023-02-13,True,True,Permanent,inferred
1049,Valencia CF,La Liga,Gennaro Gattuso,2022/2023,2022-07-01,2023-01-30,True,True,Permanent,inferred
1049,Valencia CF,La Liga,José Bordalás,2021/2022,2021-07-01,2022-06-03,False,False,Permanent,inferred
1049,Valencia CF,La Liga,Voro,2020/2021,2021-05-03,2021-06-30,False,False,Permanent,inferred
1049,Valencia CF,La Liga,Javi Gracia,2020/2021,2020-07-27,2021-05-03,False,False,Permanent,inferred
1049,Valencia CF,La Liga,Voro,2019/2020,2020-06-29,2020-07-20,False,False,Permanent,inferred
1049,Valencia CF,La Liga,Albert Celades,2019/2020,2019-09-11,2020-06-29,False,False,Permanent,inferred
1049,Valencia CF,La Liga,Marcelino,2017/2018,2017-07-01,2019-09-11,True,True,Permanent,inferred
681,Real Sociedad,La Liga,Imanol Alguacil,2018/2019,2018-12-27,2025-06-30,False,False,Permanent,inferred
368,Sevilla FC,La Liga,Joaquín Caparrós,2024/2025,2025-04-13,2025-06-30,False,False,Permanent,inferred
368,Sevilla FC,La Liga,Xavier García Pimienta,2024/2025,2024-07-01,2025-04-13,True,True,Permanent,inferred
368,Sevilla FC,La Liga,Quique Sánchez Flores,2023/2024,2023-12-18,2024-06-30,False,False,Permanent,inferred
368,Sevilla FC,La Liga,Diego Alonso,2023/2024,2023-10-10,2023-12-16,True,True,Permanent,inferred
368,Sevilla FC,La Liga,José Luis Mendilibar,2022/2023,2023-03-21,2023-10-08,True,True,Permanent,inferred
368,Sevilla FC,La Liga,Jorge Sampaoli,2022/2023,2022-10-06,2023-03-20,True,True,Permanent,inferred
368,Sevilla FC,La Liga,Julen Lopetegui,2019/2020,2019-07-01,2022-10-06,True,True,Permanent,inferred
150,Real Betis Balompié,La Liga,Manuel Pellegrini,2020/2021,2020-08-01,,False,False,Permanent,inferred
150,Real Betis Balompié,La Liga,Alexis Trujillo,2019/2020,2020-06-21,2020-07-19,False,False,Permanent,inferred
150,Real Betis Balompié,La Liga,Rubi,2019/2020,2019-07-01,2020-06-21,False,False,Permanent,inferred
621,Athletic Bilbao,La Liga,Ernesto Valverde,2022/2023,2022-07-01,2026-06-30,False,False,Permanent,inferred
621,Athletic Bilbao,La Liga,Marcelino,2020/2021,2021-01-04,2022-06-30,False,False,Permanent,inferred
621,Athletic Bilbao,La Liga,Gaizka Garitano,2018/2019,2018-12-05,2021-01-03,True,True,Permanent,inferred
1050,Villarreal CF,La Liga,Marcelino,2023/2024,2023-11-13,,False,False,Permanent,inferred
1050,Villarreal CF,La Liga,Miguel Ángel Tena,2023/2024,2023-11-10,2023-11-12,True,True,Permanent,inferred
1050,Villarreal CF,La Liga,Pacheta,2023/2024,2023-09-09,2023-11-10,True,True,Permanent,inferred
1050,Villarreal CF,La Liga,Miguel Ángel Tena,2023/2024,2023-09-05,2023-09-08,True,True,Permanent,inferred
1050,Villarreal CF,La Liga,Quique Setién,2022/2023,2022-10-26,2023-09-05,True,True,Permanent,inferred
1050,Villarreal CF,La Liga,Unai Emery,2020/2021,2020-07-23,2022-10-25,True,True,Permanent,inferred
